2016,2,12,14,51
timestamp, trialNum, blockWidth, position_number, LeftTriggerProbability, rightORwrong, Rewardposition, forageDistance, collectionDistance, totalDistance, optimalTotalDistance, Totaldifference, score
7884.0,1,1,1,0.5,1,1,554,584,1138,830,308,72
9625.0,2,1,1,0.1,0,2,1732,1188,2920,830,2090,101
11419.0,3,1,1,0.75,0,1,1504,1702,3206,830,2376,127
12979.0,4,1,1,0.25,0,2,1397,2536,3933,830,3103,148
15017.0,5,1,1,0.9,1,1,441,3550,3992,830,3162,169
16997.0,6,1,2,0.25,0,2,1998,4227,6225,830,5395,182
18917.0,7,1,2,0.9,0,1,2025,5108,7134,1445,5688,202
20440.0,8,1,2,0.75,1,1,765,6160,6926,1445,5480,223
22340.0,9,1,2,0.1,0,2,1666,6870,8537,830,7707,233
23718.0,10,1,2,0.5,1,2,478,7429,7907,830,7077,243
