2016,3,6,13,34
timestamp, trialCnt, blockWidth, diameter, ringdist, guessoutward, guessinward, totalguess, outwarddist, inwarddist, totdist
29105.0,1,20,780.0,120.0,6,3,9,2087,371,2459
41841.0,2,20,780.0,120.0,4,4,8,412,546,959
56956.0,3,20,780.0,120.0,5,4,9,643,549,1192
68473.0,4,20,780.0,120.0,3,3,6,498,533,1032
80203.0,5,20,780.0,120.0,3,3,6,389,551,941
90496.0,6,20,780.0,120.0,3,3,6,588,492,1080
104157.0,7,20,780.0,120.0,5,3,8,627,372,1000
117493.0,8,20,780.0,120.0,5,3,8,676,417,1094
131391.0,9,20,780.0,120.0,4,3,7,535,446,982
141520.0,10,20,780.0,120.0,4,3,7,792,400,1193
151549.0,11,20,780.0,120.0,3,4,7,421,455,877
161691.0,12,20,780.0,120.0,4,3,7,361,366,727
177656.0,13,20,780.0,120.0,3,6,9,379,1055,1435
196113.0,14,20,780.0,120.0,7,3,10,1111,706,1818
208464.0,15,20,780.0,120.0,4,3,7,559,398,958
218348.0,16,20,780.0,120.0,3,3,6,363,387,751
227093.0,17,20,780.0,120.0,3,3,6,389,343,733
240435.0,18,20,780.0,120.0,5,3,8,446,355,802
252976.0,19,20,780.0,120.0,4,3,7,499,530,1029
266617.0,20,20,780.0,120.0,3,3,6,516,447,963
287188.0,21,20,960.0,150.0,3,6,9,1069,1779,2849
298362.0,22,20,960.0,150.0,5,3,8,553,485,1038
316904.0,23,20,960.0,150.0,6,7,13,624,752,1377
333245.0,24,20,960.0,150.0,4,5,9,795,901,1696
342732.0,25,20,960.0,150.0,4,3,7,429,425,854
356158.0,26,20,960.0,150.0,4,3,7,547,609,1156
367142.0,27,20,960.0,150.0,3,3,6,432,526,958
377209.0,28,20,960.0,150.0,3,3,6,454,434,889
398979.0,29,20,960.0,150.0,3,7,10,496,2207,2704
413259.0,30,20,960.0,150.0,3,4,7,495,585,1080
443764.0,31,20,960.0,150.0,4,3,7,581,483,1064
457517.0,32,20,960.0,150.0,3,4,7,710,993,1703
469976.0,33,20,960.0,150.0,3,3,6,835,499,1334
480766.0,34,20,960.0,150.0,3,3,6,559,490,1050
491136.0,35,20,960.0,150.0,4,3,7,668,488,1157
509446.0,36,20,960.0,150.0,4,5,9,704,968,1673
530220.0,37,20,960.0,150.0,5,4,9,620,1013,1633
540412.0,38,20,960.0,150.0,3,3,6,607,504,1112
549447.0,39,20,960.0,150.0,3,3,6,623,477,1100
568720.0,40,20,960.0,150.0,4,5,9,1097,783,1880
580900.0,41,20,600.0,90.0,3,3,6,2733,423,3156
590754.0,42,20,600.0,90.0,4,3,7,311,522,834
601510.0,43,20,600.0,90.0,4,3,7,576,279,855
609361.0,44,20,600.0,90.0,3,3,6,256,310,567
617447.0,45,20,600.0,90.0,3,3,6,271,298,569
626496.0,46,20,600.0,90.0,4,3,7,485,462,948
635002.0,47,20,600.0,90.0,3,3,6,272,275,547
645462.0,48,20,600.0,90.0,4,3,7,369,269,639
654335.0,49,20,600.0,90.0,3,3,6,387,260,647
666236.0,50,20,600.0,90.0,3,4,7,443,570,1013
679958.0,51,20,600.0,90.0,5,3,8,794,308,1102
689558.0,52,20,600.0,90.0,4,3,7,248,320,568
699866.0,53,20,600.0,90.0,4,3,7,279,302,581
708964.0,54,20,600.0,90.0,3,3,6,297,479,776
722635.0,55,20,600.0,90.0,3,5,8,527,775,1303
732866.0,56,20,600.0,90.0,3,3,6,298,285,584
742890.0,57,20,600.0,90.0,3,3,6,265,342,607
754013.0,58,20,600.0,90.0,3,3,6,274,357,631
765489.0,59,20,600.0,90.0,3,3,6,267,592,859
777062.0,60,20,600.0,90.0,3,4,7,341,467,809
